"","sp","slopeLong","slopeShort","Nbegin","Nmed","Nend","NbeginS","NmedS","NendS","NbeginA","NmedA","NendA","sphen_begin","sphen_med","sphen_end","aphen_begin","aphen_med","aphen_end","Ntotal"
"169","APUAPU",-52,-41,6269.28094145277,5128.01717171717,3011.2380952381,1045.12740788623,1201.90909090909,763.952380952381,4575.39996213797,3491.36464646465,1924,151,148,147,213,226,206,163458
"170","APUPAL",NA,-100,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,NA,NA,NA,NA,NA,NA,1
"171","ALCATT",414,Inf,0.0555555555555556,0,0.285714285714286,0.0555555555555556,0,0.285714285714286,0,0,0,NA,NA,NA,NA,NA,NA,3
"172","MERAPI",425,116,0.299101307189542,0.727272727272727,1.57142857142857,0.187990196078431,0.727272727272727,1.28571428571429,0.111111111111111,0,0.285714285714286,NA,NA,NA,NA,NA,NA,23
"173","UPUEPO",43,398,0.315674603174603,0.0909090909090909,0.452380952380952,0.268055555555556,0.0909090909090909,0.452380952380952,0.0476190476190476,0,0,NA,NA,NA,NA,NA,NA,9
"174","JYNTOR",18,86,47.5005838975266,30.2535353535354,56.1428571428571,24.9656165300128,23.6818181818182,42.5714285714286,15.4738562564027,2.82727272727273,4,138,136,138,217,213,213,1644
"175","PICCAN",51,22,6.68710418408561,8.28181818181818,10.1190476190476,2.05626799670917,1.54545454545455,1.47619047619048,4.44280199934225,6.73636363636364,8.19047619047619,83,104,89,222,256,295,261
"176","DRYMAR",230,8,51.4845124388855,157.710028860029,169.952380952381,4.15381293113491,15.2909090909091,1.5952380952381,45.6222728037356,132.283838383838,167.619047619048,114,118,83,262,264,263,4174
"177","DENMAJ",94,-30,171.138049605194,473.908766233766,331.857142857143,9.77233696386173,12.4,27.5,152.282496021351,457.167676767677,298.952380952381,119,113,107,254,231,236,11507
"178","DENLEU",1476,275,1.58214285714286,6.64545454545455,24.9285714285714,0,0.363636363636364,0.738095238095238,1.58214285714286,6.18181818181818,24.0238095238095,NA,NA,NA,290,294,289,269
"179","DENMIN",103,17,80.5903571531667,139.364393939394,163.5,5.57062217967791,15.7272727272727,17.2857142857143,74.4491000528539,117.922222222222,143.047619047619,110,105,105,277,277,286,4535
"180","PICTRI",-1,-64,16.2452896948253,45.1181818181818,16.0952380952381,0,0.818181818181818,0.142857142857143,15.5452896948253,43.9090909090909,15.952380952381,NA,NA,NA,290,288,286,933
"181","CALBRA",50,Inf,0.0952380952380952,0,0.142857142857143,0,0,0.142857142857143,0.0952380952380952,0,0,NA,NA,NA,NA,NA,NA,15
"182","LULARB",45,-41,200.300534733584,490.918181818182,291.071428571429,25.4531753162558,46.5454545454545,19.952380952381,173.750595070564,441.381818181818,270.547619047619,98,92,96,276,274,275,11460
"183","ALAARV",-45,-30,1227.45606700661,957.267424242424,671.857142857143,1065.26788515492,853.352272727273,599.52380952381,156.295523121529,102.272727272727,71.9047619047619,97,88,91,278,279,281,35219
"184","EREALP",-68,-82,1.79335839598997,3.21590909090909,0.571428571428571,0.1,0.636363636363636,0,1.69335839598997,2.45454545454545,0.571428571428571,NA,NA,NA,NA,NA,NA,74
"185","RIPRIP",-71,-63,485.465350404669,376.529292929293,140.404761904762,63.1752011060835,33.1090909090909,16.9761904761905,421.647292155729,342.747474747475,122.571428571429,144,145,139,226,226,223,13629
"186","HIRRUS",-16,-14,6370.64396596695,6196.05151515152,5334.71428571429,824.776121771246,845.263636363636,790.857142857143,5274.98451086237,5019.5,4260.57142857143,142,138,138,245,245,248,214665
"187","DELURB",-38,-37,4122.28392568903,4067.43434343434,2552.90476190476,549.383328230077,488.59898989899,704.333333333333,3279.71885142721,3251.2,1447.14285714286,142,139,139,239,237,237,127606
"188","CECDAU",-100,-100,0.0625,0.181818181818182,0,0.0625,0.181818181818182,0,0,0,0,NA,NA,NA,NA,NA,NA,3
"189","ANTRIC",-37,-50,1.35634920634921,1.72727272727273,0.857142857142857,0,0.0909090909090909,0,1.35634920634921,1.63636363636364,0.857142857142857,NA,NA,NA,NA,NA,NA,53
"190","ANTCAM",-19,136,0.527474323062558,0.181818181818182,0.428571428571429,0.121323529411765,0.0909090909090909,0.142857142857143,0.406150793650794,0.0909090909090909,0.285714285714286,NA,NA,NA,NA,NA,NA,15
"191","ANTHOD",Inf,57,0,0.0909090909090909,0.142857142857143,0,0,0,0,0.0909090909090909,0.142857142857143,NA,NA,NA,NA,NA,NA,2
"192","ANTTRI",-28,-40,10896.7673873598,13238.0090909091,7885.04761904762,430.641958780813,350.727272727273,315.214285714286,10410.1799678306,12866.5181818182,7551.11904761905,128,127,126,239,234,238,416463
"193","ANTPRA",-70,-36,6932.31426421016,3289.08445165945,2103.59523809524,433.067761864898,359.281818181818,216.214285714286,6453.3959923977,2867.17272727273,1856.78571428571,109,106,109,271,269,269,197993
"194","ANTCER",-18,-9,35.9054492849772,32.3636363636364,29.4761904761905,0.435399159663866,0.363636363636364,0.142857142857143,35.4700501253133,32,29.3333333333333,NA,NA,NA,251,252,254,1517
"195","ANTPET",10,23,21.0655324336826,18.8883116883117,23.2619047619048,14.3123251318685,15.4545454545455,16.1190476190476,5.86355349157207,2.90909090909091,6.85714285714286,104,105,102,247,262,253,1002
"196","MOTFLA",-44,-41,5826.09858143662,5513.59696969697,3235.71428571429,78.5439518384952,44.4090909090909,37.9761904761905,5746.45066134416,5468.69494949495,3197.59523809524,137,137,136,235,234,234,198601
"197","MOTCIT",204,110,0.188034188034188,0.272727272727273,0.571428571428571,0.0769230769230769,0.272727272727273,0.285714285714286,0,0,0.142857142857143,NA,NA,NA,NA,NA,NA,9
"198","MOTCIN",334,26,0.728907203907204,2.52222222222222,3.16666666666667,0.0769230769230769,0.363636363636364,0.285714285714286,0.36031746031746,1.76565656565657,2.45238095238095,NA,NA,NA,NA,NA,NA,59
