FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
merisirri,skärsnäppa,Purple Sandpiper,Calidris maritima,CALMAR,349,1,0,0,2,60,151,182,59,1,1,CALMAR,,,
pikkusirri,småsnäppa,Little Stint,Calidris minuta,CALUTA,351,1,0,0,2,47,166,182,365,1,1,CALUTA,,,
vesipääsky,smalnäbbad simsnäppa,Red-necked Phalarope,Phalaropus lobatus,PHALOB,359,1,0,0,2,47,166,182,365,1,1,PHALOB,,,
isovesipääsky,brednäbbad simsnäppa,Red Phalarope,Phalaropus fulicarius,PHAFUL,360,1,0,0,2,47,166,182,365,1,1,PHAFUL,,,
rantakurvi,tereksnäppa,Terek Sandpiper,Xenus cinereus,XENCIN,363,1,0,0,2,47,166,182,365,1,1,XENCIN,,,
rantasipi,drillsnäppa,Common Sandpiper,Actitis hypoleucos,ACTHYP,364,1,0,0,2,47,160,161,365,1,1,ACTHYP,x,,
metsäviklo,skogssnäppa,Green Sandpiper,Tringa ochropus,TRIOCH,367,1,0,0,2,47,143,144,365,1,1,TRIOCH,x,,
mustaviklo,svartsnäppa,Spotted Redshank,Tringa erythropus,TRIERY,368,1,0,0,2,47,151,152,365,1,1,TRIERY,x,,
valkoviklo,gluttsnäppa,Common Greenshank,Tringa nebularia,TRINEB,369,1,0,0,2,47,166,167,365,1,1,TRINEB,x,,
lampiviklo,dammsnäppa,Marsh Sandpiper,Tringa stagnatilis,TRISTA,372,1,0,0,2,47,166,182,365,1,1,TRISTA,,,
liro,grönbena,Wood Sandpiper,Tringa glareola,TRIGLA,373,1,0,0,2,47,160,161,365,1,1,TRIGLA,x,,
punajalkaviklo,rödbena,Common Redshank,Tringa totanus,TRITOT,374,1,0,0,2,47,166,167,365,0,1,TRITOT,x,,
jänkäkurppa,dvärgbeckasin,Jack Snipe,Lymnocryptes minimus,LYMMIN,376,1,0,0,2,60,166,182,365,1,1,LYMMIN,,,
lehtokurppa,morkulla,Eurasian Woodcock,Scolopax rusticola,SCORUS,379,1,0,0,2,60,151,182,365,1,1,SCORUS,x,,
taivaanvuohi,enkelbeckasin,Common Snipe,Gallinago gallinago,GALGAL,380,1,0,0,2,47,151,182,365,1,1,GALGAL,x,,
heinäkurppa,dubbelbeckasin,Great Snipe,Gallinago media,GALMED,382,1,0,0,2,47,151,182,365,1,1,GALMED,,,
leveäpyrstökihu,bredstjärtad labb,Pomarine Skua,Stercorarius pomarinus,STEPOM,398,1,0,0,2,47,166,182,365,1,1,STEPOM,,,
merikihu,kustlabb,Parasitic Jaeger,Stercorarius parasiticus,STECUS,399,1,0,0,2,47,166,182,365,0,1,STECUS,,,
tunturikihu,fjällabb,Long-tailed Jaeger,Stercorarius longicaudus,STELON,401,1,0,0,2,47,166,182,365,1,1,STELON,,,
isokihu,storlabb,Great Skua,Stercorarius skua,STESKU,402,1,0,0,2,47,166,182,365,1,1,STESKU,,,
